dataset,split_role,metric_name,metric_key,b1_mean,b1_std,c1_mean,c1_std,delta_mean,delta_std,n_runs,seeds,aggregation
GlaS,testA,F1,f1,0.7497829409486959,0.008969375103724678,0.7403076778027367,0.02937107055219077,-0.009475263145959182,0.025589569477274143,3,"3407,1234,2025",mean+-std
GlaS,testA,Object Dice,objdice,0.8358530244610577,0.005728230230101914,0.8349364449371147,0.013934995473445148,-0.0009165795239430471,0.01931928064948386,3,"3407,1234,2025",mean+-std
GlaS,testA,Object Hausdorff,object_hausdorff,67.33102374062989,1.6288842810760917,70.4092280092973,6.806466322407596,3.0782042686674083,6.98259082063943,3,"3407,1234,2025",mean+-std
GlaS,testA,Dice,dice,0.9168899499633462,0.004078882475208538,0.9180562522148521,0.005620997490316884,0.001166302251505898,0.0016701541843194701,3,"3407,1234,2025",mean+-std
GlaS,testA,IoU,iou,0.8535293563846569,0.004709315425797862,0.8542374017591218,0.008328322503280574,0.000708045374464931,0.0036193120172431687,3,"3407,1234,2025",mean+-std
GlaS,testA,HD95,hd95,33.353000269201054,1.5259231928448742,33.46330419354967,0.783300990850383,0.11030392434861606,2.3018209755563426,3,"3407,1234,2025",mean+-std
GlaS,testA,Boundary F1,boundary_f1,0.7615930521046852,0.00861192204557606,0.7621021968318944,0.010024314698561559,0.0005091447272091617,0.008666444263287922,3,"3407,1234,2025",mean+-std
GlaS,testB,F1,f1,0.6725650834772183,0.01693586451141436,0.69972741683268,0.014732256213600973,0.02716233335546166,0.024765418878327203,3,"3407,1234,2025",mean+-std
GlaS,testB,Object Dice,objdice,0.8224684936261918,0.01433540318757005,0.831425135486985,0.005953705839230064,0.008956641860793257,0.009637857677753764,3,"3407,1234,2025",mean+-std
GlaS,testB,Object Hausdorff,object_hausdorff,97.69613974890727,6.410289027959477,94.10687126549779,3.4233271566825993,-3.5892684834094744,3.8055393662674626,3,"3407,1234,2025",mean+-std
GlaS,testB,Dice,dice,0.9135594379296231,0.00622244299871337,0.9120146775274072,0.0029139128140600705,-0.001544760402215924,0.004053848096805035,3,"3407,1234,2025",mean+-std
GlaS,testB,IoU,iou,0.8499939863903914,0.009691259885910413,0.8477936005718733,0.0058613672886942015,-0.0022003858185181504,0.005197122860210751,3,"3407,1234,2025",mean+-std
GlaS,testB,HD95,hd95,25.699712276458733,2.790277433507554,28.182269280751534,2.294114871116615,2.482557004292802,0.5060621049549519,3,"3407,1234,2025",mean+-std
GlaS,testB,Boundary F1,boundary_f1,0.7089707815184972,0.00832771667465195,0.7079999378256103,0.002509951458541258,-0.0009708436928869505,0.005834753946577406,3,"3407,1234,2025",mean+-std
