source_stage,source_manifest,source_protocol_version,source_run_name,consumer_stage,consumer_file,consumption_boundary,split_role,metric_name,metric_key,baseline_mean,baseline_std,distance_mean,distance_std,delta_distance_minus_baseline,n_runs,seeds,aggregation,evidence_status
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,testA,F1,f1,0.7497829409486957,0.008969375103724624,0.7453142165543402,0.01987919907609285,-0.004468724394355528,3,"3407,1234,2025",mean+-std_population_ddof0,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,testA,Object Dice,objdice,0.8358530244610577,0.0057282302301020676,0.8263347948110168,0.01925298244761776,-0.0095182296500409,3,"3407,1234,2025",mean+-std_population_ddof0,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,testA,Object Hausdorff,object_hausdorff,67.33102374062987,1.628884281076085,75.1947217937873,10.76917952987956,7.863698053157421,3,"3407,1234,2025",mean+-std_population_ddof0,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,testA,Dice,dice,0.9168899499633464,0.004078882475208621,0.9119582504376473,0.0026437557660353487,-0.0049316995256990515,3,"3407,1234,2025",mean+-std_population_ddof0,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,testA,IoU,iou,0.8535293563846572,0.004709315425797913,0.8460269784770538,0.004418232858898387,-0.007502377907603441,3,"3407,1234,2025",mean+-std_population_ddof0,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,testA,HD95,hd95,33.353000269201054,1.5259231928448738,34.764278787904296,3.366509770930529,1.4112785187032415,3,"3407,1234,2025",mean+-std_population_ddof0,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,testA,Boundary F1,boundary_f1,0.7615930521046851,0.008611922045575945,0.7563750961949935,0.009076298763371193,-0.005217955909691541,3,"3407,1234,2025",mean+-std_population_ddof0,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,testB,F1,f1,0.6725650834772182,0.016935864511414243,0.7073107575832034,0.0269811499410972,0.03474567410598517,3,"3407,1234,2025",mean+-std_population_ddof0,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,testB,Object Dice,objdice,0.8224684936261918,0.014335403187570029,0.8325270841885901,0.013972728629136894,0.010058590562398328,3,"3407,1234,2025",mean+-std_population_ddof0,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,testB,Object Hausdorff,object_hausdorff,97.69613974890727,6.41028902795947,90.75350833249381,6.482368738019897,-6.942631416413462,3,"3407,1234,2025",mean+-std_population_ddof0,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,testB,Dice,dice,0.9135594379296231,0.006222442998713352,0.9153889228516264,0.009487504941877261,0.0018294849220032994,3,"3407,1234,2025",mean+-std_population_ddof0,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,testB,IoU,iou,0.8499939863903913,0.009691259885910403,0.8532253684751847,0.014508681432830092,0.003231382084793455,3,"3407,1234,2025",mean+-std_population_ddof0,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,testB,HD95,hd95,25.699712276458737,2.790277433507552,27.843423315683996,2.91897380580179,2.143711039225259,3,"3407,1234,2025",mean+-std_population_ddof0,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,testB,Boundary F1,boundary_f1,0.7089707815184972,0.008327716674652005,0.7120171613666427,0.012427002503893978,0.0030463798481454862,3,"3407,1234,2025",mean+-std_population_ddof0,pass
