split_role,metric_name,unet_mean,unet_std,r34unet_mean,r34unet_std,delta_mean_r34unet_minus_unet,config_version,train_proto_version,eval_proto_version,aggregation,seeds,n_runs
testA,F1,0.5665384539704452,0.07226307657782348,0.7458172446366653,0.06643605161367591,0.1792787906662201,original_protocol_reproduction,train_proto_v1,eval_proto_v1,mean+-std_ddof0,"3407,1234,2025",3
testA,Object Dice,0.7487356502514606,0.03550251227672446,0.8368989006437677,0.031307623498214705,0.0881632503923071,original_protocol_reproduction,train_proto_v1,eval_proto_v1,mean+-std_ddof0,"3407,1234,2025",3
testA,Object Hausdorff,109.68002193537525,14.704205717186953,67.29667549261426,12.788273160907178,-42.383346442760995,original_protocol_reproduction,train_proto_v1,eval_proto_v1,mean+-std_ddof0,"3407,1234,2025",3
testA,Dice,0.8864678263540995,0.017126614489283383,0.9112152805716103,0.008179107497651059,0.02474745421751079,original_protocol_reproduction,train_proto_v1,eval_proto_v1,mean+-std_ddof0,"3407,1234,2025",3
testA,IoU,0.8051163706941221,0.026352628043312464,0.8444548139984637,0.012784731844721977,0.03933844330434155,original_protocol_reproduction,train_proto_v1,eval_proto_v1,mean+-std_ddof0,"3407,1234,2025",3
testA,HD95,51.96149503601921,5.80455909768854,34.75587695625092,2.3479868021506873,-17.205618079768286,original_protocol_reproduction,train_proto_v1,eval_proto_v1,mean+-std_ddof0,"3407,1234,2025",3
testA,Boundary F1,0.6646552005471618,0.04545039012588757,0.7541390226151798,0.025970838373672124,0.08948382206801808,original_protocol_reproduction,train_proto_v1,eval_proto_v1,mean+-std_ddof0,"3407,1234,2025",3
testB,F1,0.5817422437383737,0.05805455808168749,0.7011119944440377,0.03422315844946881,0.11936975070566402,original_protocol_reproduction,train_proto_v1,eval_proto_v1,mean+-std_ddof0,"3407,1234,2025",3
testB,Object Dice,0.7829788027488308,0.020333613537163772,0.8190511969169032,0.014055325226256306,0.0360723941680724,original_protocol_reproduction,train_proto_v1,eval_proto_v1,mean+-std_ddof0,"3407,1234,2025",3
testB,Object Hausdorff,118.60712700416019,11.268664139049589,99.28685045584065,5.007488447692213,-19.32027654831954,original_protocol_reproduction,train_proto_v1,eval_proto_v1,mean+-std_ddof0,"3407,1234,2025",3
testB,Dice,0.8797433133260983,0.011180987924648085,0.8990478689282296,0.012852457290502738,0.01930455560213129,original_protocol_reproduction,train_proto_v1,eval_proto_v1,mean+-std_ddof0,"3407,1234,2025",3
testB,IoU,0.7959176486676395,0.015573861769603174,0.8296092466382317,0.01617868550606351,0.03369159797059218,original_protocol_reproduction,train_proto_v1,eval_proto_v1,mean+-std_ddof0,"3407,1234,2025",3
testB,HD95,43.426340233484886,4.780118245732593,32.541450853347754,2.911827071279252,-10.884889380137132,original_protocol_reproduction,train_proto_v1,eval_proto_v1,mean+-std_ddof0,"3407,1234,2025",3
testB,Boundary F1,0.6274155840284084,0.0203824671530463,0.6997063431449818,0.002081986906425995,0.07229075911657346,original_protocol_reproduction,train_proto_v1,eval_proto_v1,mean+-std_ddof0,"3407,1234,2025",3
